1000 4000
52 350 250
52 565 91
52 731 287
52 771 256
53 2 231
53 7 269
53 43 122
53 385 239
53 708 208
54 167 12
54 285 285
54 517 192
54 972 8
55 393 38
55 598 172
55 787 224
55 913 162
56 509 133
56 656 62
56 826 2
56 892 250
56 990 182
58 398 131
58 439 203
58 494 154
58 682 217
59 483 21
60 175 74
60 926 10
61 10 280
61 167 103
61 360 67
61 647 239
61 655 215
61 868 221
61 904 38
61 952 170
62 411 11
62 444 159
63 117 117
63 229 252
63 584 25
63 591 234
63 681 103
63 756 107
63 923 211
64 215 293
64 518 299
65 65 113
65 106 265
65 152 113
65 705 227
65 706 20
65 881 274
65 903 232
66 460 291
66 996 73
67 415 45
67 778 273
67 848 175
69 378 127
69 573 44
70 453 204
71 658 22
71 775 9
72 317 158
72 818 10
72 929 241
73 79 9
73 220 137
73 353 81
73 461 73
73 504 162
73 552 115
74 20 27
74 149 130
74 253 22
74 333 15
74 431 252
74 549 274
74 722 11
74 759 150
75 71 190
75 266 229
75 515 121
75 545 212
75 694 187
75 815 37
75 913 242
76 58 293
77 9 103
77 51 203
77 559 59
77 784 75
78 274 10
78 724 181
79 973 69
80 298 291
80 868 111
81 3 30
81 63 44
81 382 89
81 580 107
82 0 160
82 24 200
82 139 167
82 423 255
82 455 97
82 692 208
82 806 136
82 831 239
82 982 131
83 389 35
83 552 298
83 692 32
83 719 296
84 95 25
84 469 207
84 535 0
84 592 125
84 620 191
85 181 229
85 250 291
85 420 131
85 652 251
85 734 290
85 752 221
86 117 241
86 231 80
87 230 142
87 681 164
88 245 231
88 273 115
88 467 175
88 563 34
88 854 213
88 935 279
88 943 37
89 98 197
89 151 104
89 296 250
89 503 66
89 536 43
89 688 214
89 958 138
90 34 115
90 135 100
90 164 297
90 330 281
90 461 132
90 497 189
90 713 231
91 651 87
91 808 18
92 714 173
93 374 69
93 435 24
93 444 109
93 565 136
93 584 187
93 608 172
93 891 222
93 936 246
94 328 37
94 513 238
94 582 167
94 592 70
94 846 43
94 983 64
95 7 56
95 174 238
95 684 16
96 33 293
97 551 295
97 836 91
98 281 69
98 314 120
98 773 227
98 967 94
99 42 55
99 332 144
99 363 45
99 491 40
99 527 225
99 881 223
99 898 174
99 998 3
100 400 258
100 462 283
100 551 276
100 759 42
100 761 117
100 958 171
101 31 140
101 171 105
101 555 185
102 286 268
102 438 0
102 499 217
102 750 88
102 945 76
103 352 179
103 358 238
104 32 216
104 40 237
104 484 243
104 768 68
105 403 149
105 412 165
105 621 295
105 697 217
105 726 101
106 258 97
106 285 50
106 752 221
107 266 157
107 463 16
107 629 113
107 912 232
108 306 247
109 96 281
109 389 283
109 730 90
109 731 287
109 752 290
110 57 166
110 168 117
110 197 197
111 182 156
111 602 222
111 650 249
111 704 235
112 122 229
112 231 177
112 524 34
112 576 145
112 717 96
113 389 210
113 422 245
113 693 1
114 129 93
114 980 258
115 56 40
115 679 10
115 839 58
116 723 85
116 978 6
117 215 255
117 467 70
117 717 3
117 943 27
118 65 263
118 82 129
118 205 40
118 243 88
118 900 0
119 17 213
119 138 66
119 650 193
119 741 132
120 28 256
120 526 206
120 716 138
120 912 97
121 202 45
121 733 213
121 782 82
121 972 196
122 53 197
122 547 277
123 244 182
123 443 231
124 507 207
124 607 74
124 951 105
124 997 54
125 118 137
125 485 62
125 532 278
125 905 207
126 410 77
126 595 295
126 825 259
127 45 100
127 127 11
127 571 214
127 633 40
127 964 140
128 39 27
128 62 226
128 245 139
128 434 141
128 465 229
129 229 65
129 640 260
129 753 179
130 255 266
131 388 44
132 358 288
132 945 193
133 97 79
133 175 241
133 452 200
133 930 246
134 401 78
134 553 33
134 671 257
135 258 193
135 930 134
136 52 82
136 65 5
136 455 162
136 499 75
136 630 114
136 680 198
137 351 231
137 483 41
137 507 193
137 633 241
137 890 63
137 915 188
138 310 267
138 425 199
139 228 280
139 546 262
139 666 37
139 838 281
139 898 173
140 531 286
140 638 191
140 666 132
140 887 188
140 888 54
141 139 88
141 285 77
141 588 181
141 670 45
141 910 196
142 444 155
142 842 160
142 844 216
144 159 16
144 561 280
144 703 149
144 748 115
145 3 252
145 53 9
145 370 13
145 446 0
145 481 14
145 497 266
145 729 159
145 840 233
145 861 51
146 328 155
146 690 149
146 693 91
146 964 86
147 162 155
148 130 4
148 356 124
148 412 292
148 510 196
149 14 295
149 135 90
149 168 138
149 190 46
149 257 212
149 333 65
150 432 172
151 666 83
152 54 145
152 87 70
152 630 272
152 800 87
153 27 91
153 232 247
153 520 90
154 333 56
154 433 254
154 466 133
154 529 52
154 552 43
154 593 259
154 685 250
154 721 89
154 861 234
155 191 290
155 361 264
155 587 257
155 728 55
156 17 200
156 134 60
156 298 149
156 345 51
156 388 246
156 803 166
156 820 132
156 981 95
157 196 218
157 289 292
157 430 23
157 647 182
157 668 256
158 22 246
158 58 94
158 375 44
158 464 262
158 606 138
159 42 139
159 833 170
159 983 165
160 294 54
160 405 25
160 505 153
160 678 136
161 197 195
161 234 58
161 293 247
161 324 71
161 524 249
161 620 143
161 746 38
161 896 41
162 358 20
162 506 278
162 537 251
162 771 237
162 955 83
163 448 96
163 467 92
163 612 274
164 58 111
164 542 119
164 704 118
165 545 227
165 645 20
166 449 22
166 700 267
166 893 174
166 938 126
167 270 138
167 520 160
168 18 187
168 55 91
168 81 271
168 141 162
168 315 196
168 485 134
168 521 98
170 483 217
170 494 116
170 766 242
171 22 144
171 166 96
171 489 240
171 603 142
171 621 288
171 654 247
171 851 95
172 48 23
172 968 58
173 17 278
173 454 109
174 477 254
174 582 239
174 819 43
174 984 259
175 36 261
175 354 48
175 459 125
175 581 87
176 701 115
177 726 222
177 734 120
177 773 170
177 801 3
178 273 89
178 464 57
178 579 158
178 658 284
178 739 3
179 188 73
179 291 171
179 595 69
179 635 57
181 760 174
182 58 126
182 66 16
182 95 28
182 285 88
182 301 93
182 344 242
182 391 195
182 467 220
183 135 228
183 177 120
183 345 28
183 347 23
183 415 248
183 658 195
183 798 292
183 933 295
184 74 19
184 75 182
184 121 206
184 449 128
184 649 50
184 658 84
184 928 94
185 38 253
185 53 12
185 516 108
186 96 248
186 437 298
187 83 85
187 360 213
187 462 143
187 640 179
187 807 209
187 863 261
188 821 164
189 100 12
189 372 219
189 544 51
189 707 35
189 787 290
190 381 110
190 584 6
191 248 22
191 301 78
191 406 104
191 471 259
192 121 119
192 454 269
192 546 164
192 552 17
192 554 224
192 714 241
193 8 254
193 195 297
193 620 197
193 842 222
193 882 276
193 958 279
194 526 78
194 605 259
195 158 7
195 219 84
195 485 93
195 525 64
196 462 233
196 513 31
196 583 250
196 783 28
196 948 172
197 136 243
197 505 136
197 509 252
197 545 154
197 569 33
197 662 228
198 280 179
198 467 81
198 496 286
199 410 213
199 645 172
199 655 250
199 668 184
199 776 61
199 835 273
199 855 263
200 41 260
200 458 18
200 643 256
200 667 72
200 854 90
201 328 42
201 794 184
202 8 134
202 48 6
202 105 38
202 176 280
202 625 77
202 658 2
203 277 125
203 309 208
203 681 223
203 712 117
203 995 62
204 177 205
204 192 109
204 446 212
204 486 119
204 542 24
204 777 289
205 524 178
205 558 123
205 975 39
205 997 46
206 106 102
206 613 169
206 911 14
206 929 93
207 259 206
207 355 296
208 395 226
208 477 203
208 646 76
208 844 169
209 450 180
209 458 225
209 492 299
209 497 283
209 886 6
211 66 227
211 754 180
212 65 19
212 288 182
212 834 249
213 406 70
213 594 107
213 627 2
214 223 157
214 282 7
214 751 232
215 22 187
215 58 275
215 213 149
215 604 244
216 79 268
216 158 227
216 583 133
216 626 57
216 722 42
217 68 35
217 565 242
217 624 84
217 940 12
218 369 172
218 706 34
218 838 144
218 865 33
219 479 217
219 627 88
219 671 264
219 717 193
220 715 244
220 891 23
221 237 104
221 680 237
221 848 168
221 870 126
221 964 181
222 129 61
222 439 141
222 647 250
222 754 52
222 815 60
223 637 149
223 712 86
223 759 34
223 796 131
224 8 144
224 81 295
224 908 37
225 9 112
225 256 240
225 262 282
225 738 209
226 603 204
226 994 145
227 197 292
227 205 191
227 382 210
227 940 140
228 541 59
228 560 267
228 722 268
228 753 109
229 298 256
229 373 200
229 560 218
229 716 132
230 157 181
230 429 124
230 582 111
230 611 109
230 614 198
230 665 52
230 841 225
230 954 101
231 619 180
232 575 232
232 812 31
232 834 241
233 421 161
233 594 76
233 722 271
233 962 190
234 115 210
234 266 247
234 570 5
234 606 180
235 290 112
235 407 177
235 833 211
236 12 74
236 459 243
236 469 124
237 359 39
237 443 13
237 530 13
237 850 159
238 122 23
238 456 103
238 911 52
238 988 175
239 893 53
240 27 10
240 517 206
240 581 123
240 813 74
241 39 193
241 421 188
241 641 246
241 798 189
241 803 6
242 182 71
242 332 42
242 618 170
243 338 84
243 929 14
244 549 294
244 592 261
244 844 149
245 59 169
245 338 144
245 386 251
245 473 74
245 764 238
246 778 89
246 781 103
247 99 250
247 584 148
248 111 275
248 242 48
248 479 7
248 539 265
248 637 157
248 975 130
249 158 148
249 179 79
249 426 140
249 523 258
249 667 28
249 817 218
250 58 21
250 644 152
250 670 245
250 778 60
250 896 196
251 73 147
251 96 198
251 234 62
251 351 90
251 523 165
251 578 98
251 675 136
251 724 276
251 738 170
251 807 230
252 12 220
252 321 240
252 857 165
252 912 241
253 83 20
253 117 177
253 293 21
253 327 259
253 413 56
253 676 203
253 777 148
253 868 47
253 924 21
254 126 213
254 354 42
255 64 210
255 396 220
255 684 135
255 814 150
256 148 24
256 188 116
256 454 3
256 730 131
256 802 248
256 910 72
256 928 15
257 88 129
257 333 293
257 465 243
257 590 59
257 719 173
257 750 114
257 792 226
258 419 245
258 859 171
258 873 276
259 33 156
259 82 289
259 313 35
259 366 185
260 45 78
260 158 25
260 199 70
260 202 16
260 531 253
260 883 273
260 982 36
261 578 78
262 233 54
262 409 107
262 420 270
262 444 49
262 519 185
262 534 131
263 74 192
263 313 55
263 461 246
263 659 240
264 181 3
264 497 143
264 623 15
264 709 103
264 714 46
264 801 23
264 966 31
264 973 279
265 370 136
265 590 291
265 840 79
266 387 231
266 463 213
267 312 134
267 509 10
267 749 65
267 751 219
268 374 52
268 458 76
268 554 250
268 713 66
268 808 259
269 175 239
269 180 223
269 248 137
269 388 129
269 479 238
269 552 135
269 834 247
269 886 30
270 329 161
270 452 75
270 632 104
270 679 225
270 715 100
270 829 77
270 919 49
271 87 199
271 268 193
271 283 164
271 287 99
271 825 228
271 842 294
271 869 261
271 943 166
271 945 121
271 988 231
272 55 228
272 434 144
272 703 286
273 31 272
273 34 33
273 723 289
273 792 293
273 875 222
274 116 281
274 133 85
274 183 261
274 747 95
274 884 229
275 84 182
275 221 176
276 265 75
276 309 291
276 506 2
276 597 234
276 924 152
278 27 3
278 80 234
278 489 235
278 568 233
278 859 52
279 498 67
279 776 22
279 882 108
280 638 267
281 85 152
281 272 257
281 589 98
281 734 53
281 746 299
281 827 61
282 196 180
282 326 258
282 339 27
282 534 296
283 160 153
283 667 236
284 253 27
284 944 259
285 200 190
285 325 18
285 426 170
285 550 140
285 762 2
285 900 168
286 64 100
286 277 42
286 523 266
286 535 296
287 0 186
287 27 120
287 41 226
287 208 238
287 340 166
287 393 27
287 699 110
287 753 183
287 847 204
287 863 179
288 384 221
288 925 195
289 647 181
289 690 33
289 713 141
289 944 165
290 59 184
290 98 258
290 241 64
290 293 296
290 311 40
290 339 54
290 795 52
291 166 261
291 641 265
292 159 51
292 382 21
292 439 153
292 492 54
292 600 78
292 962 114
292 997 149
293 716 128
293 855 134
294 450 249
294 589 124
294 798 194
295 168 125
295 906 14
296 202 73
296 268 146
296 281 221
296 546 80
296 658 186
296 710 289
296 714 5
296 782 129
296 834 23
296 916 78
296 939 144
297 91 124
297 340 123
297 433 140
297 654 128
298 39 83
298 343 134
298 582 52
298 682 175
299 56 28
299 330 194
299 444 197
299 730 175
299 890 93
300 413 141
300 424 264
300 768 123
301 344 27
301 387 127
301 702 244
301 768 247
302 120 259
302 612 121
302 683 90
302 714 129
303 281 252
303 375 67
303 422 98
303 634 203
303 925 228
304 4 40
304 237 285
304 368 296
304 378 191
304 512 216
304 672 21
305 1 234
306 39 73
306 126 257
306 396 286
307 481 112
307 518 33
307 793 104
307 997 251
309 364 233
309 415 202
310 671 278
310 940 199
310 974 90
311 257 293
311 667 117
311 850 295
311 904 245
312 99 161
312 170 15
312 204 102
312 250 275
312 618 157
312 862 220
313 474 122
313 698 189
313 756 121
313 838 117
314 173 69
314 350 86
314 456 147
314 503 248
314 626 17
314 651 40
315 235 171
315 312 197
316 35 290
316 59 258
316 94 47
316 122 25
316 403 48
316 429 261
316 581 277
316 671 86
316 854 286
316 890 167
316 996 89
317 134 253
317 213 109
317 903 130
317 914 95
318 81 258
318 114 113
318 135 276
318 201 142
318 390 124
318 432 13
318 602 107
318 726 211
318 858 50
318 870 1
318 963 13
319 272 291
319 634 236
319 750 228
319 881 126
320 165 131
321 104 146
321 592 97
321 655 227
321 818 205
322 333 273
322 486 108
323 37 138
323 132 172
323 153 48
323 341 249
323 445 203
323 537 238
323 540 179
323 569 224
324 444 170
324 767 166
325 140 191
325 313 123
326 948 244
327 42 110
327 274 60
327 413 154
327 488 177
328 288 39
328 936 204
330 48 228
330 91 111
330 733 23
330 961 47
331 75 104
331 376 83
331 746 70
331 805 151
331 861 100
331 943 208
331 970 253
332 866 58
333 105 287
333 146 29
333 559 227
333 721 246
333 867 53
334 1 37
334 296 176
334 588 99
334 620 71
334 874 72
335 72 0
335 190 277
335 460 105
335 485 0
335 592 218
335 616 57
335 759 169
336 397 218
336 665 233
337 278 93
337 566 132
337 623 164
337 653 168
337 721 75
338 342 28
338 424 70
338 963 235
339 336 221
339 552 130
340 487 299
340 501 135
340 686 21
340 888 170
341 93 48
341 813 246
342 780 77
343 446 232
343 523 87
343 593 80
343 731 251
344 736 137
344 863 249
345 103 30
346 891 37
347 396 66
347 402 265
348 281 32
348 453 203
348 624 292
348 831 150
349 702 7
349 827 54
350 6 201
350 138 72
350 315 136
350 333 125
350 606 195
350 832 273
351 129 37
351 140 25
351 199 3
351 329 90
351 347 73
351 816 94
352 641 244
352 658 179
352 793 239
353 465 45
353 942 204
355 15 231
355 232 65
355 771 9
356 71 280
356 72 250
356 388 252
357 70 271
357 241 250
357 532 203
357 599 90
357 886 9
358 74 87
358 111 181
358 124 8
358 436 269
358 737 145
360 38 288
360 814 154
360 908 198
361 132 228
361 255 266
361 397 153
361 742 294
361 760 84
361 770 213
361 928 59
362 406 260
363 28 284
363 300 5
363 628 29
363 721 265
363 967 36
364 141 199
364 381 90
364 498 108
364 975 26
365 75 86
365 111 217
365 334 49
365 397 268
365 718 35
365 756 284
365 874 220
366 33 285
366 290 227
366 465 232
366 592 88
367 140 103
367 385 202
368 41 17
368 282 48
368 421 258
368 441 172
369 244 194
369 538 104
369 878 159
370 607 96
370 676 243
370 850 144
370 923 298
371 137 233
371 176 286
371 444 7
371 466 178
371 794 285
371 986 262
372 31 106
372 32 89
372 563 28
372 688 151
372 876 290
373 31 104
373 289 85
373 480 73
373 652 94
373 666 60
373 750 260
374 108 35
374 548 283
374 849 152
376 255 42
376 529 31
376 901 213
376 931 208
376 945 253
377 130 287
377 246 120
377 350 48
377 519 83
377 998 86
378 419 51
379 590 35
379 943 177
380 8 67
380 165 246
380 355 268
380 374 84
380 430 11
380 570 139
380 913 264
381 65 172
381 779 2
381 946 209
382 140 216
382 169 36
382 260 189
382 261 295
382 271 69
382 836 219
383 133 275
383 720 144
383 846 243
384 405 240
384 920 187
385 967 16
386 687 129
386 833 260
386 972 102
387 20 30
387 21 202
387 444 86
387 759 62
387 879 0
387 957 203
388 77 213
388 425 201
388 675 243
388 915 250
388 954 102
389 75 212
389 625 229
389 668 188
389 932 119
390 61 187
390 199 85
390 250 86
390 425 155
390 632 89
390 991 68
391 18 20
391 139 35
391 148 246
392 32 8
392 37 25
392 570 19
392 752 224
392 963 62
393 33 31
393 65 128
393 249 294
393 548 129
393 704 166
394 159 123
394 180 197
394 291 171
394 490 248
394 506 116
394 948 86
395 102 116
395 197 8
395 583 33
396 339 86
396 706 205
396 853 58
397 96 94
397 125 206
397 424 68
397 751 201
398 244 259
398 500 182
398 505 239
398 760 98
398 851 188
399 282 286
399 567 197
399 623 200
400 24 93
400 179 117
400 861 263
401 199 127
401 789 255
401 796 272
401 826 292
402 115 192
402 189 187
402 411 257
402 923 231
402 935 241
403 42 0
403 252 118
403 367 299
403 672 76
403 960 162
404 213 132
404 729 15
405 53 271
405 346 125
405 626 253
405 826 216
406 162 145
406 222 286
406 295 286
406 427 113
406 510 13
406 684 54
406 823 243
406 918 168
407 804 207
408 415 108
409 463 249
410 461 234
410 463 248
410 470 249
411 40 250
411 233 126
411 368 48
411 984 147
412 0 64
412 377 223
412 441 230
412 840 270
413 98 146
413 400 16
414 314 24
414 944 257
414 994 129
415 16 15
415 85 18
415 96 222
415 377 194
415 399 55
415 644 36
415 656 61
415 741 156
415 765 30
416 286 205
416 452 208
416 649 177
416 665 152
416 774 256
416 827 169
416 893 149
417 463 153
417 581 122
418 385 101
418 489 159
418 619 291
418 622 119
418 900 228
419 526 83
419 565 205
419 648 289
420 225 281
420 254 153
420 345 83
420 832 25
420 882 32
421 145 291
421 310 17
421 445 10
421 461 1
421 716 162
421 912 267
421 945 265
422 6 226
422 592 113
422 936 273
422 946 206
423 2 85
423 279 196
423 527 200
423 815 9
423 883 113
423 890 217
423 918 66
424 565 272
424 678 252
425 184 15
425 430 251
425 493 91
425 524 218
425 614 112
425 867 289
426 95 6
426 362 263
426 606 73
426 617 57
427 355 60
427 743 104
428 124 181
428 681 190
429 404 105
429 555 210
430 107 191
430 238 191
430 266 205
430 794 122
430 831 295
431 86 95
431 286 160
431 476 91
432 227 160
432 535 8
432 799 220
432 896 167
432 955 205
433 255 265
433 260 25
433 740 101
433 843 72
434 549 241
435 546 59
435 549 217
435 693 72
435 976 140
436 670 262
436 825 52
437 303 23
437 695 279
437 734 184
437 815 175
437 866 49
437 922 287
438 274 126
438 656 65
438 860 73
438 978 138
438 981 147
439 48 165
439 535 1
439 718 107
439 778 238
439 880 135
439 958 122
440 89 94
440 375 262
441 53 23
441 683 188
441 936 267
442 280 116
442 361 183
442 444 233
442 735 289
442 979 207
442 984 72
443 47 253
443 188 227
443 245 96
443 296 73
443 438 118
443 448 292
443 676 83
444 224 278
444 415 14
444 621 105
444 881 175
444 936 78
445 523 143
445 609 114
446 182 135
446 577 117
447 40 218
447 347 19
447 427 3
447 726 71
447 846 71
448 106 184
448 632 241
448 636 53
449 238 55
449 436 299
449 491 160
449 924 72
450 746 36
450 801 61
451 115 104
452 93 241
452 149 100
452 169 162
452 275 141
452 284 205
452 645 295
452 681 33
452 754 182
452 946 221
454 971 190
454 992 2
455 358 147
455 544 44
455 725 171
455 947 124
455 979 178
456 148 44
456 388 66
456 405 131
456 535 11
457 601 168
458 39 105
458 71 106
458 79 288
458 127 230
458 594 71
459 768 185
460 184 191
460 253 250
460 428 93
460 512 0
460 652 71
461 290 162
461 295 252
461 519 113
462 402 139
462 611 277
463 53 205
463 134 172
463 331 1
463 508 249
463 920 66
463 963 197
464 74 146
464 194 284
464 501 80
464 537 158
464 557 162
464 643 119
464 705 245
465 239 106
465 523 0
465 762 139
465 772 114
465 783 153
466 44 59
466 235 59
466 262 49
466 662 292
467 83 100
467 425 150
467 541 29
467 728 193
468 70 43
468 184 217
468 425 204
468 629 43
468 802 88
468 882 119
469 86 75
469 330 123
469 519 241
469 881 39
469 982 13
470 175 196
470 183 189
470 199 15
470 320 288
470 384 247
470 610 5
471 205 230
471 344 130
471 428 59
471 778 140
472 286 166
472 402 276
472 407 294
472 479 93
472 645 292
472 972 30
472 983 285
473 84 160
473 976 150
474 445 88
474 633 191
474 708 46
474 781 142
474 920 72
474 972 121
475 352 0
475 615 128
476 154 135
476 381 147
477 108 113
477 209 263
477 493 95
478 358 262
478 939 138
479 573 106
479 707 145
479 716 0
479 803 99
480 405 82
481 144 96
481 500 280
481 579 23
482 5 236
482 89 242
482 104 53
482 508 2
483 595 141
483 911 235
484 774 280
485 55 272
485 464 223
485 592 122
485 619 146
485 822 203
486 25 264
486 199 120
486 556 103
486 602 237
486 677 69
486 996 6
487 196 233
487 297 18
487 326 276
487 341 261
487 577 74
487 670 128
487 728 29
487 764 13
488 215 8
488 282 155
488 319 189
488 520 1
488 664 273
488 682 41
488 763 20
489 165 21
489 425 184
489 758 290
489 766 187
489 796 148
489 948 82
489 958 141
490 103 250
490 197 156
490 375 246
490 604 101
490 925 124
490 972 18
491 252 9
491 482 129
491 647 17
491 811 214
491 933 29
491 934 152
491 995 242
492 142 122
492 193 52
492 297 273
492 320 299
492 433 140
493 41 49
493 68 66
493 146 221
493 515 69
493 927 269
494 571 6
495 552 235
495 566 156
495 741 22
495 811 93
496 646 183
496 942 272
497 188 72
497 338 76
497 711 291
498 28 246
498 223 90
498 369 191
498 797 141
499 222 133
499 792 213
500 169 124
500 970 239
501 34 129
501 482 47
501 850 228
502 141 187
502 224 196
502 277 262
502 374 6
502 541 4
502 617 99
502 928 121
503 32 51
503 221 163
503 232 0
503 362 108
503 472 20
503 511 74
503 729 7
503 861 231
504 281 146
504 392 285
504 483 166
504 529 98
504 748 158
504 837 53
504 979 38
505 157 2
505 337 104
505 440 283
505 702 58
506 88 156
506 158 189
506 767 253
507 40 123
507 153 74
507 349 151
507 360 127
507 622 227
508 80 240
508 135 215
508 185 238
508 460 182
508 489 258
508 753 197
508 961 59
509 80 179
509 97 262
509 292 277
509 300 195
509 343 0
509 822 278
509 974 241
510 422 174
510 946 165
511 125 138
511 202 234
511 954 35
511 976 205
511 992 224
512 98 272
512 145 60
512 482 115
512 593 230
513 126 197
513 259 151
513 408 94
514 147 262
514 290 16
514 336 83
514 505 44
514 523 229
514 785 227
514 799 110
515 621 293
515 787 90
515 859 40
515 935 88
515 964 242
516 149 15
516 726 166
516 786 234
517 282 271
518 159 218
518 220 135
518 262 44
518 349 147
518 509 264
519 481 70
519 596 15
519 809 201
520 728 288
520 792 265
520 940 160
521 61 44
522 149 277
522 242 12
522 685 284
522 882 10
522 911 80
523 371 227
523 539 209
524 215 99
524 442 154
524 988 93
525 80 217
525 213 24
525 483 138
525 746 244
525 845 299
525 904 195
525 953 192
525 975 189
526 357 237
526 386 10
526 937 166
526 959 260
527 137 243
527 282 293
527 540 86
527 807 294
528 366 272
528 491 297
528 748 179
529 132 9
529 540 205
529 788 109
529 981 12
530 131 210
530 209 120
530 605 290
530 618 148
530 630 276
531 204 195
531 461 10
531 570 110
531 806 268
531 829 282
532 283 273
532 761 69
532 963 207
533 782 212
533 828 284
535 397 25
535 450 73
535 502 263
536 279 94
536 281 270
536 429 288
536 763 216
536 980 116
537 560 149
537 598 177
537 623 222
537 629 89
537 695 225
537 743 233
537 814 263
538 113 256
538 351 247
538 469 183
538 782 54
538 869 112
539 299 75
539 365 21
539 585 241
540 245 8
540 297 242
540 443 156
540 725 150
540 795 66
541 259 31
541 355 35
541 416 77
541 755 39
541 833 215
542 63 247
542 567 149
542 659 187
542 998 186
543 306 132
543 373 266
543 848 226
543 924 223
544 50 241
544 165 203
544 344 75
544 605 24
545 317 45
545 813 295
546 260 127
546 556 70
546 678 269
546 759 203
547 258 84
547 346 226
547 951 7
549 280 45
549 300 201
549 348 77
549 496 284
549 546 139
549 578 279
549 806 4
549 888 123
550 16 260
550 339 138
550 353 281
551 110 257
551 487 26
552 95 21
552 492 53
552 773 170
553 228 64
553 271 55
553 976 170
554 980 88
554 988 241
555 482 53
555 814 31
555 832 81
555 905 289
555 917 171
556 42 140
556 170 50
556 531 295
556 561 127
556 798 3
556 973 116
556 974 147
557 435 12
557 476 292
557 980 291
558 143 261
558 646 82
558 914 30
559 589 270
559 932 96
559 953 207
561 56 6
561 350 247
561 563 104
561 568 13
561 739 184
561 932 258
561 991 152
562 125 21
562 354 102
563 400 41
564 12 240
565 599 51
565 650 32
565 762 273
565 965 87
566 582 231
566 694 31
566 955 57
567 54 177
567 310 66
567 493 96
567 577 54
568 30 138
568 538 74
568 684 161
568 797 225
568 994 279
569 120 93
569 535 62
569 581 243
569 638 63
569 807 135
569 808 31
569 816 83
569 959 228
570 38 12
570 211 135
570 233 254
570 337 235
571 60 104
571 500 77
571 886 205
572 67 38
572 221 122
572 249 240
572 257 270
572 284 26
572 411 16
572 514 166
573 97 12
573 465 205
573 589 261
573 705 44
573 733 52
573 908 209
574 454 69
574 500 66
575 90 38
575 154 270
575 290 125
575 337 76
575 617 290
575 762 267
576 227 43
576 539 122
576 540 223
576 763 198
576 811 108
577 671 22
577 675 205
577 750 207
578 74 295
578 187 113
578 640 64
578 931 144
578 948 106
578 949 105
578 956 277
579 224 28
579 432 248
579 673 10
579 837 88
580 85 13
580 127 50
580 299 148
580 331 67
580 477 16
580 740 30
580 796 98
580 870 290
580 875 207
580 919 126
581 144 140
582 202 175
582 578 59
583 399 235
583 591 45
583 930 165
584 252 286
584 433 100
584 447 268
584 734 54
584 738 288
584 790 17
584 951 1
585 41 123
585 89 107
585 216 250
585 289 271
585 702 273
586 91 58
586 108 77
586 495 122
586 807 226
586 929 131
586 987 171
587 80 85
